count_1,routine_flg,period,campaign_name_入会費半額,campaign_name_入会費無料,class_name_オールタイム,class_name_デイタイム,gender_F
3,0,2,0,0,1,0,0
3,1,6,0,0,1,0,0
3,0,11,0,0,1,0,0
3,0,3,0,0,1,0,0
4,0,8,0,0,0,0,1
9,0,0,0,1,0,1,1
1,0,8,0,0,0,0,0
1,0,10,1,0,1,0,0
5,1,10,1,0,0,0,0
2,0,4,0,0,0,0,0
6,1,5,0,1,0,1,1
1,0,3,0,0,1,0,1
11,0,0,0,1,0,0,0
4,0,6,0,0,0,0,0
4,0,6,0,0,0,0,0
9,1,0,0,1,0,0,0
2,0,5,0,1,1,0,0
3,0,4,0,0,1,0,1
2,0,10,1,0,1,0,1
3,0,11,0,0,0,1,1
3,1,5,0,1,1,0,0
6,0,0,0,1,1,0,0
2,0,21,0,0,0,0,1
1,0,7,0,0,0,0,0
4,1,9,1,0,1,0,0
3,0,5,0,1,1,0,1
4,0,9,1,0,1,0,1
1,0,11,0,0,1,0,0
2,0,10,1,0,0,0,0
6,1,8,0,0,1,0,0
4,0,5,0,1,0,0,1
3,0,4,0,0,1,0,0
8,0,0,0,1,1,0,1
3,0,7,0,0,1,0,0
8,1,2,0,0,0,0,0
4,0,8,0,0,0,0,1
4,0,3,0,0,0,0,0
2,0,3,0,0,1,0,0
3,0,11,0,0,1,0,0
5,0,4,0,0,0,1,1
1,0,5,0,1,0,1,1
3,1,2,0,0,0,1,1
2,1,16,0,0,0,0,1
3,0,4,0,0,0,1,1
9,0,0,0,1,0,0,0
4,0,10,1,0,0,0,0
3,0,10,1,0,1,0,0
4,0,10,1,0,0,1,1
4,1,2,0,0,1,0,1
4,0,3,0,0,1,0,1
8,0,0,0,1,1,0,0
9,0,1,0,1,1,0,0
5,0,11,0,0,0,1,1
2,0,11,0,0,0,0,1
2,0,7,0,0,0,0,1
3,1,5,0,1,0,1,1
3,0,9,1,0,1,0,0
4,0,7,0,0,0,1,1
2,1,5,0,1,1,0,1
4,0,8,0,0,0,1,0
4,0,9,1,0,1,0,1
9,0,0,0,1,0,0,0
4,0,10,1,0,0,0,1
5,0,4,0,0,1,0,0
10,1,1,0,1,0,1,1
9,1,0,0,1,1,0,1
5,0,5,0,1,0,1,1
9,0,0,0,1,1,0,0
5,1,9,1,0,1,0,0
5,0,11,0,0,0,1,1
1,0,6,0,0,1,0,1
4,1,7,0,0,0,1,1
4,1,10,1,0,1,0,0
2,0,5,0,1,1,0,0
4,0,8,0,0,0,1,0
2,0,5,0,1,0,1,1
2,0,11,0,0,1,0,0
4,0,8,0,0,1,0,0
2,0,11,0,0,1,0,0
4,0,11,0,0,0,0,0
5,0,11,0,0,1,0,0
2,0,5,0,1,0,0,0
3,0,10,1,0,1,0,0
4,1,5,0,1,0,1,1
3,0,11,0,0,1,0,0
2,1,8,0,0,1,0,0
4,1,5,0,1,0,0,0
11,0,0,0,1,0,1,1
4,0,9,1,0,0,0,0
2,0,5,0,1,1,0,1
4,0,8,0,0,0,0,0
2,0,4,0,0,1,0,0
12,1,0,0,1,0,0,1
4,1,10,1,0,1,0,0
4,1,7,0,0,1,0,0
2,0,3,0,0,1,0,0
3,0,6,0,0,0,0,0
10,0,0,1,0,0,0,0
10,0,0,1,0,1,0,0
9,0,0,1,0,0,0,1
5,0,10,1,0,1,0,0
3,0,6,0,1,0,1,0
9,0,0,1,0,1,0,1
7,0,0,1,0,1,0,1
5,1,9,0,0,1,0,0
2,0,11,1,0,1,0,0
3,0,7,0,0,1,0,0
4,0,3,0,0,1,0,0
8,0,10,1,0,1,0,0
4,0,9,0,0,0,0,0
4,1,6,0,1,0,0,0
3,0,1,0,1,0,0,0
1,1,10,1,0,1,0,0
5,0,1,0,1,0,1,1
4,0,7,0,0,1,0,0
2,0,8,0,0,1,0,0
3,0,11,1,0,0,1,1
10,0,0,1,0,0,0,1
6,1,0,1,0,1,0,1
9,0,0,1,0,0,1,1
5,0,8,0,0,1,0,0
3,0,11,1,0,1,0,1
4,0,11,1,0,1,0,1
2,1,8,0,0,1,0,0
1,0,4,0,0,1,0,0
3,0,9,0,0,0,1,1
8,0,0,1,0,1,0,0
2,1,6,0,1,1,0,1
4,1,21,0,0,0,1,1
5,0,5,0,0,1,0,1
6,1,1,0,1,1,0,0
3,0,8,0,0,0,0,0
5,0,1,0,1,1,0,0
4,0,1,0,1,1,0,1
5,0,8,0,0,0,0,0
2,0,4,0,0,0,1,0
6,0,1,0,1,1,0,1
3,1,6,0,1,0,0,1
1,1,6,0,1,0,0,0
5,0,2,0,1,0,0,0
12,0,0,1,0,1,0,1
3,0,5,0,0,0,1,1
2,0,6,0,1,0,1,1
2,0,10,1,0,1,0,0
9,0,0,1,0,1,0,0
3,0,5,0,0,1,0,1
5,0,1,0,1,1,0,1
2,0,10,1,0,1,0,0
3,0,5,0,0,0,0,0
2,0,11,1,0,0,1,0
4,1,10,1,0,1,0,0
4,1,11,1,0,1,0,0
3,0,8,0,0,0,0,0
3,1,6,0,1,1,0,1
3,0,4,0,0,0,1,1
2,0,7,0,0,0,1,1
2,0,3,0,0,0,0,1
2,0,19,0,0,1,0,0
10,0,0,1,0,0,0,0
9,1,0,1,0,0,0,0
2,0,3,0,0,1,0,0
2,0,10,1,0,0,0,0
1,0,10,1,0,0,1,1
3,0,5,0,0,1,0,0
3,1,1,0,1,1,0,0
5,0,11,1,0,0,1,1
3,1,11,1,0,1,0,1
4,1,8,0,0,1,0,1
3,0,5,0,0,1,0,1
5,0,7,0,0,1,0,0
1,0,11,1,0,1,0,0
3,0,4,0,0,0,1,1
4,0,4,0,0,0,1,1
5,0,6,0,1,1,0,0
10,1,0,1,0,0,1,0
5,0,5,0,0,0,0,1
2,0,4,0,0,0,1,1
2,0,6,0,1,1,0,1
5,1,6,0,1,1,0,1
4,0,9,0,0,0,1,1
2,0,5,0,0,0,0,0
3,0,6,0,1,0,1,1
2,0,7,0,0,1,0,0
3,0,6,0,1,0,0,0
4,1,3,0,0,0,1,1
3,0,7,0,0,0,0,0
5,1,1,0,1,0,1,0
4,1,9,0,0,1,0,1
3,0,3,0,0,0,1,1
9,0,0,1,0,0,1,1
4,1,11,1,0,1,0,0
2,0,7,0,1,1,0,0
5,1,21,0,0,1,0,0
6,1,1,1,0,0,0,0
6,1,9,0,0,0,0,1
4,0,4,0,0,0,1,1
2,0,2,0,1,0,1,1
2,1,20,0,0,0,0,0
4,1,11,1,0,1,0,0
2,0,11,1,0,0,1,0
2,0,6,0,0,0,1,1
3,0,1,1,0,1,0,0
4,0,7,0,1,0,1,1
1,0,2,0,1,0,0,1
4,0,11,1,0,1,0,0
8,0,0,1,0,1,0,1
2,0,10,0,0,1,0,0
3,0,7,0,1,0,0,1
4,0,8,0,0,0,0,0
5,1,1,1,0,0,0,0
2,0,11,1,0,1,0,1
7,1,1,1,0,0,1,1
9,1,1,1,0,0,0,0
3,0,8,0,0,0,0,0
4,0,7,0,1,0,0,0
3,1,11,1,0,0,1,1
6,1,4,0,0,1,0,0
3,1,5,0,0,1,0,0
4,1,5,0,0,0,0,1
2,0,1,1,0,0,1,1
5,1,1,1,0,1,0,0
4,0,8,0,0,1,0,1
6,1,1,1,0,1,0,0
9,1,0,1,0,0,0,0
5,1,6,0,0,0,1,1
3,1,2,0,1,1,0,1
2,0,2,0,1,1,0,1
2,0,7,0,1,1,0,0
1,1,21,0,0,0,1,1
4,1,2,0,1,1,0,0
5,1,7,0,1,0,0,1
3,1,7,0,1,0,0,0
3,0,4,0,0,1,0,0
2,1,5,0,0,1,0,0
10,0,0,1,0,1,0,0
7,0,17,0,0,1,0,1
4,0,9,0,0,0,1,1
3,0,19,0,0,0,1,0
3,0,14,0,0,1,0,0
9,0,0,1,0,1,0,1
3,1,6,0,0,0,1,1
4,0,7,0,1,1,0,0
1,0,10,0,0,0,1,1
1,1,8,0,0,0,0,0
2,1,2,0,1,0,0,0
9,0,0,1,0,1,0,0
6,1,5,0,0,1,0,0
2,0,7,0,1,1,0,0
3,0,2,0,1,0,1,1
8,1,0,1,0,1,0,1
6,0,1,1,0,0,1,1
4,0,11,1,0,1,0,0
3,0,7,0,1,0,1,1
11,0,0,1,0,1,0,0
3,0,15,0,0,0,1,1
4,0,2,0,1,1,0,1
2,0,10,0,0,1,0,0
7,1,21,0,0,0,0,0
9,1,1,1,0,0,1,0
4,1,17,0,0,0,0,0
3,0,21,0,0,1,0,1
1,1,2,0,1,0,0,1
4,0,1,1,0,1,0,1
8,0,1,1,0,1,0,0
4,0,6,0,0,0,0,0
8,0,0,1,0,1,0,1
4,0,2,0,1,1,0,0
3,0,4,0,0,1,0,0
1,0,7,0,1,0,0,0
1,0,11,1,0,1,0,1
4,1,11,1,0,1,0,1
5,0,9,0,0,0,0,0
2,1,6,0,0,0,1,1
7,0,0,1,0,0,0,1
4,1,7,0,1,1,0,1
5,1,5,0,0,0,0,0
4,0,5,0,0,1,0,1
1,1,10,0,0,0,1,1
3,0,8,0,0,1,0,0
2,1,5,0,0,1,0,0
4,0,7,0,1,1,0,1
4,0,10,0,0,0,0,1
2,1,3,0,1,1,0,0
3,0,4,0,0,1,0,1
1,0,7,0,1,0,0,0
2,1,2,0,1,0,0,1
2,0,2,0,1,1,0,0
6,0,0,1,0,0,1,1
9,0,0,1,0,1,0,1
3,0,7,0,1,0,1,0
2,0,10,0,0,0,1,1
1,0,9,0,0,1,0,0
3,1,8,0,0,0,0,0
5,0,2,0,1,0,1,1
5,0,6,0,0,1,0,0
4,1,1,1,0,0,1,1
5,0,10,0,0,1,0,0
3,0,6,0,0,1,0,0
10,0,0,0,0,0,0,0
4,1,22,0,0,0,1,0
10,1,0,0,0,1,0,0
6,0,7,0,0,1,0,0
3,0,8,0,1,0,1,1
6,0,1,1,0,1,0,0
4,0,10,0,0,1,0,0
1,1,20,0,0,0,0,0
3,1,22,0,0,1,0,0
3,1,2,1,0,1,0,0
3,0,3,0,1,1,0,0
1,0,11,0,0,1,0,0
3,0,11,0,0,0,0,0
4,0,3,0,1,1,0,0
3,0,3,0,1,0,1,0
2,0,2,1,0,0,1,1
3,1,6,0,0,0,0,0
2,0,2,1,0,1,0,1
2,1,20,0,0,1,0,0
4,0,3,0,1,0,1,1
2,0,1,1,0,1,0,1
11,0,0,0,0,0,1,1
4,1,10,0,0,1,0,1
2,0,9,0,0,0,1,1
8,0,0,0,0,0,1,1
4,1,3,0,1,0,1,1
2,0,3,0,1,0,1,1
1,1,15,0,0,0,1,1
5,0,1,1,0,0,0,1
2,0,2,1,0,0,0,1
4,1,8,0,1,0,1,1
2,0,1,1,0,0,1,1
4,0,17,0,0,1,0,0
3,0,8,0,1,1,0,1
1,1,2,1,0,1,0,1
2,1,11,0,0,1,0,0
1,0,8,0,1,1,0,1
2,0,17,0,0,0,0,1
2,0,13,1,0,1,0,0
1,1,13,1,0,1,0,0
8,0,0,0,0,1,0,1
3,0,7,0,0,0,0,0
4,1,8,0,1,0,1,1
1,0,2,1,0,0,1,1
5,1,3,0,1,0,1,1
2,1,20,0,0,0,1,1
5,0,1,1,0,0,1,0
3,0,22,0,0,0,0,1
2,0,8,0,1,0,0,0
6,0,4,0,1,1,0,0
2,0,5,0,0,0,0,0
3,0,1,1,0,1,0,0
4,1,10,0,0,0,0,0
4,1,8,0,1,1,0,1
2,0,3,0,1,0,0,0
2,0,6,0,0,0,1,1
5,1,3,0,1,1,0,0
3,0,11,0,0,0,0,0
9,0,0,0,0,0,0,1
2,1,8,0,1,0,0,1
4,1,7,0,0,1,0,0
4,0,5,0,0,1,0,0
3,0,9,0,0,1,0,1
2,1,18,0,0,1,0,1
4,1,20,0,0,1,0,0
4,1,3,0,1,1,0,0
6,0,1,1,0,0,0,0
2,0,22,0,0,1,0,1
1,1,6,0,0,1,0,0
4,1,2,1,0,1,0,0
3,0,2,1,0,1,0,0
3,0,2,1,0,0,0,1
12,1,1,0,0,0,0,0
1,0,18,0,0,1,0,0
2,1,11,0,0,1,0,0
4,1,2,1,0,1,0,0
3,0,2,1,0,0,0,0
2,1,3,1,0,1,0,1
3,0,1,1,0,1,0,1
4,1,2,1,0,0,1,1
4,0,16,0,0,1,0,1
2,1,11,0,0,0,1,1
3,1,2,1,0,0,1,0
5,0,1,1,0,1,0,0
8,1,0,0,0,1,0,0
2,1,12,1,0,1,0,1
6,1,7,0,0,1,0,1
4,0,11,0,0,1,0,0
8,0,0,0,0,1,0,1
3,1,3,0,1,0,1,1
4,1,21,0,0,0,1,1
2,1,17,0,0,0,0,0
8,0,0,0,0,0,0,0
5,0,5,0,0,1,0,0
9,0,0,0,0,1,0,0
3,0,3,0,1,0,0,1
3,1,3,0,1,1,0,0
5,1,1,1,0,0,0,0
3,1,2,1,0,0,0,0
8,0,0,0,0,1,0,0
3,0,2,1,0,0,1,0
2,1,6,0,0,1,0,1
5,0,5,0,1,0,0,0
2,0,8,0,0,0,1,1
5,1,3,1,0,0,0,0
5,1,1,0,0,1,0,1
2,0,2,1,0,0,1,1
1,1,7,0,0,1,0,0
2,0,10,0,0,0,0,1
1,1,4,0,1,1,0,1
2,0,3,1,0,1,0,0
4,1,3,1,0,1,0,0
4,1,18,0,0,1,0,0
3,1,11,0,0,0,1,1
5,1,4,0,1,0,1,1
10,0,0,0,0,0,0,0
6,1,4,1,0,0,1,1
2,1,7,0,0,0,1,1
4,1,4,0,1,0,1,1
6,0,1,0,0,0,1,1
4,0,3,1,0,0,0,1
3,1,4,0,1,0,0,0
3,1,8,0,0,0,0,0
4,0,8,0,0,0,0,0
2,1,4,0,1,1,0,0
4,1,1,0,0,0,0,1
4,1,18,0,0,0,1,0
3,0,4,0,1,1,0,1
3,1,9,0,1,1,0,1
6,0,0,0,0,0,1,0
3,1,4,0,1,0,0,1
13,0,0,0,0,0,0,0
2,0,4,0,1,0,0,0
9,1,0,0,0,1,0,1
3,0,3,1,0,1,0,1
4,0,3,1,0,1,0,0
3,0,11,0,0,1,0,1
2,0,2,1,0,0,0,0
4,0,1,0,0,1,0,1
2,0,3,1,0,1,0,1
4,0,3,1,0,1,0,1
3,1,9,0,1,0,1,1
2,0,7,0,0,0,1,1
4,0,1,0,0,0,1,1
3,0,8,0,0,1,0,1
4,1,4,0,1,0,0,0
4,1,3,1,0,0,0,0
4,0,3,1,0,1,0,0
3,1,16,0,0,0,1,0
3,0,3,1,0,0,0,0
11,0,0,0,0,1,0,1
2,1,4,0,1,1,0,1
2,0,3,1,0,0,1,1
2,1,6,0,0,1,0,1
4,1,4,0,1,0,1,1
4,0,11,0,0,0,0,0
1,0,2,1,0,0,1,1
3,0,2,1,0,1,0,1
5,1,1,0,0,0,0,1
4,1,3,1,0,1,0,0
2,1,2,1,0,0,1,1
1,1,4,0,1,0,1,1
2,1,13,1,0,0,1,1
1,1,5,0,1,1,0,0
3,0,2,1,0,0,0,0
3,0,4,0,1,0,1,1
6,0,3,1,0,0,1,1
4,0,17,0,0,0,1,1
3,1,11,0,0,1,0,0
1,0,2,1,0,0,0,0
11,1,0,0,0,1,0,0
2,0,2,1,0,1,0,1
6,0,2,1,0,0,1,0
6,1,11,0,0,0,1,1
3,1,4,0,1,1,0,0
5,0,1,0,0,1,0,0
2,1,9,0,1,1,0,0
4,1,2,1,0,0,1,1
1,1,9,0,1,1,0,0
10,0,0,0,0,1,0,1
3,1,2,1,0,0,0,0
4,1,3,1,0,0,0,0
4,0,1,0,0,0,0,0
4,1,9,0,1,0,1,1
1,1,10,0,0,0,0,0
2,1,2,0,0,0,1,1
5,1,4,1,0,1,0,1
3,1,4,1,0,0,1,0
1,0,5,1,0,1,0,0
7,0,1,0,0,0,0,0
5,1,4,1,0,1,0,0
3,0,4,1,0,1,0,1
4,0,9,0,0,1,0,0
3,1,2,0,0,1,0,0
3,1,4,1,0,1,0,0
2,0,5,0,1,1,0,1
3,1,5,0,1,0,1,1
11,0,0,0,0,0,0,0
6,0,2,0,0,0,0,1
3,0,3,1,0,0,1,1
3,1,10,0,1,1,0,0
4,1,4,1,0,1,0,1
4,1,11,0,0,1,0,0
6,0,1,0,0,1,0,0
1,1,10,0,1,1,0,0
1,0,3,1,0,1,0,0
4,0,3,1,0,1,0,0
5,1,5,0,1,1,0,0
2,0,13,0,0,1,0,0
4,1,5,0,1,1,0,1
6,0,8,0,0,0,0,0
2,1,11,0,0,0,1,1
4,1,2,0,0,0,0,1
1,1,10,0,1,0,1,0
4,1,5,0,1,1,0,1
8,0,0,0,0,0,0,1
2,1,11,0,0,0,0,0
7,1,3,1,0,1,0,1
2,1,4,1,0,0,1,1
4,1,7,0,0,1,0,1
2,0,4,1,0,1,0,1
4,1,4,1,0,1,0,0
5,1,1,0,0,0,1,1
4,1,22,0,0,0,0,0
8,0,0,0,0,1,0,0
4,1,5,0,1,0,0,1
4,0,4,1,0,1,0,0
2,1,4,1,0,1,0,0
4,0,4,1,0,0,0,0
6,0,4,1,0,1,0,0
4,0,5,1,0,0,0,0
1,1,2,0,0,1,0,1
2,0,3,1,0,1,0,0
2,0,8,0,0,0,1,1
4,1,8,0,0,1,0,1
3,1,6,0,1,1,0,1
4,0,2,0,0,1,0,0
5,1,5,0,1,0,1,0
3,0,2,0,0,0,1,1
2,1,9,0,0,1,0,0
6,1,4,1,0,0,0,0
4,1,11,0,0,0,1,0
8,0,0,0,0,0,1,1
7,0,0,0,0,0,0,0
2,1,5,0,1,0,0,0
3,0,4,1,0,1,0,0
3,1,11,0,0,0,1,0
4,1,10,0,1,1,0,0
1,0,4,1,0,1,0,1
4,1,3,1,0,1,0,1
6,1,1,0,0,0,1,1
6,1,1,0,0,1,0,1
5,1,5,0,1,0,0,0
4,0,3,1,0,0,0,0
5,1,3,1,0,0,0,0
3,0,7,0,0,0,1,1
5,0,1,0,0,1,0,0
2,0,3,1,0,0,0,0
5,1,5,0,1,0,0,0
5,1,3,1,0,1,0,1
3,1,4,1,0,0,1,1
5,0,2,0,0,1,0,1
5,1,4,1,0,0,1,1
8,1,0,0,0,0,1,1
3,0,3,0,0,0,1,1
2,1,5,0,1,1,0,0
1,1,10,0,1,0,0,0
4,1,2,0,0,1,0,1
2,1,5,0,1,1,0,1
4,1,4,1,0,1,0,1
2,0,3,0,0,1,0,0
2,1,19,0,0,1,0,0
2,1,10,0,0,1,0,0
8,1,1,0,0,0,0,0
2,1,20,0,0,1,0,0
3,0,9,0,0,0,1,0
3,1,4,1,0,0,1,1
2,0,3,0,0,0,1,1
3,1,6,0,1,1,0,1
1,1,11,0,1,0,0,0
1,1,3,0,0,0,0,0
2,0,4,1,0,1,0,0
2,1,4,1,0,1,0,0
2,1,11,0,1,0,0,0
6,1,7,0,1,1,0,1
3,1,3,0,0,0,1,1
4,1,13,0,0,0,0,1
4,0,2,0,0,1,0,0
2,1,6,0,1,1,0,0
3,1,4,1,0,0,0,0
3,1,4,1,0,0,0,0
1,1,10,0,0,1,0,0
3,1,10,0,0,0,0,1
3,1,6,0,1,0,1,0
4,1,11,0,1,1,0,1
1,0,3,0,0,0,0,0
4,1,11,0,1,1,0,0
2,1,5,1,0,0,1,1
2,0,6,0,1,0,1,1
4,0,5,1,0,0,0,0
1,0,8,0,0,0,1,1
4,0,5,1,0,1,0,0
3,0,3,0,0,0,1,1
3,1,2,0,0,0,0,0
4,0,3,0,0,0,1,0
3,1,4,1,0,0,1,1
3,0,3,0,0,0,1,1
2,1,4,1,0,1,0,0
3,1,6,0,1,0,1,1
2,1,10,0,0,1,0,0
6,1,11,0,1,1,0,1
3,1,5,1,0,0,0,0
3,1,10,0,0,0,1,0
4,1,1,0,0,1,0,1
3,1,11,0,1,1,0,0
3,1,8,0,0,1,0,1
2,0,5,1,0,1,0,1
4,1,8,0,0,1,0,0
3,1,4,1,0,1,0,1
4,0,6,0,1,0,1,1
1,1,10,0,0,0,1,0
1,0,2,0,0,0,0,0
3,0,2,0,0,0,0,0
11,1,0,0,0,1,0,1
6,1,6,0,1,1,0,0
5,1,11,0,1,1,0,1
4,0,4,1,0,0,0,1
3,1,7,0,1,1,0,0
7,1,1,0,0,1,0,0
5,1,4,1,0,1,0,1
4,1,9,0,0,0,1,1
3,1,6,0,1,0,0,0
2,1,5,1,0,1,0,1
2,1,4,1,0,1,0,0
3,1,22,0,0,1,0,0
5,1,5,1,0,0,0,0
7,1,11,0,1,1,0,1
2,1,8,0,0,1,0,1
7,1,0,0,0,1,0,0
2,1,11,0,1,0,0,0
5,1,4,1,0,0,0,0
3,1,7,0,1,0,0,1
4,1,4,1,0,1,0,1
3,1,4,1,0,0,0,0
4,0,6,0,1,0,1,0
1,1,9,0,0,1,0,1
5,1,6,0,1,1,0,0
5,0,6,1,0,1,0,0
1,0,2,0,0,0,0,1
5,0,1,0,0,0,1,1
3,1,5,1,0,0,0,0
6,0,6,0,1,1,0,1
3,1,14,0,0,0,0,1
4,0,9,0,0,1,0,0
3,1,8,0,0,1,0,0
1,1,10,0,0,0,1,0
4,1,11,0,1,1,0,0
2,1,5,1,0,1,0,0
2,0,2,0,0,0,0,1
1,1,4,1,0,1,0,0
2,0,2,0,0,0,0,0
3,0,6,0,1,0,0,0
5,1,5,1,0,0,1,1
1,0,3,0,0,1,0,0
3,0,6,0,1,1,0,0
7,0,0,0,0,1,0,1
12,1,0,0,0,1,0,0
1,1,2,0,0,1,0,0
5,0,3,0,0,1,0,1
5,0,6,1,0,0,1,1
1,1,5,1,0,1,0,1
5,1,11,0,1,0,0,0
4,0,11,0,1,0,1,1
8,0,1,0,0,1,0,0
4,1,2,0,0,1,0,1
4,0,4,1,0,1,0,0
3,0,8,0,0,0,0,0
3,1,5,1,0,0,0,0
6,0,3,0,0,0,1,0
6,1,6,1,0,1,0,0
5,1,4,0,0,0,1,0
3,0,22,0,0,1,0,1
3,1,6,1,0,1,0,0
6,0,1,0,0,0,0,0
3,0,7,0,1,0,1,1
3,1,7,0,1,1,0,1
4,0,11,0,0,0,0,0
4,0,6,1,0,1,0,0
2,1,7,0,1,1,0,1
1,1,3,0,0,1,0,0
6,0,2,0,0,0,1,1
2,0,6,1,0,1,0,0
3,1,15,0,0,1,0,0
2,1,9,0,0,1,0,0
2,1,18,0,0,0,0,1
3,1,5,0,0,0,0,0
3,1,3,0,0,0,0,0
3,0,6,1,0,1,0,0
8,0,0,0,0,0,0,0
3,1,5,1,0,1,0,0
1,1,7,0,1,0,1,1
2,1,17,1,0,1,0,0
4,1,19,0,0,1,0,0
2,1,4,0,0,0,1,1
4,1,10,0,0,1,0,1
1,0,2,0,0,1,0,1
3,1,22,0,0,0,1,1
6,1,15,0,0,0,1,1
2,0,4,0,0,0,1,1
5,1,1,0,0,1,0,0
